GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2004,2004,2004,WPR,Western Pacific,PHL,Philippines,,,,93862.0,93 862,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,406803.0,406 803,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,22266.0,22 266,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2020,2020,2020,WPR,Western Pacific,PHL,Philippines,,,,28375.0,28 375,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,530692.0,530 692,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2008,2008,2008,WPR,Western Pacific,PHL,Philippines,,,,465608.0,465 608,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2016,2016,2016,WPR,Western Pacific,PHL,Philippines,,,,24506.0,24 506,,
HWF_0016,Pharmaceutical Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmaceutical-technicians-and-assistants-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,25000.0,25 000,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,33712.0,33 712,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,364518.0,364 518,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2021,2021,2021,WPR,Western Pacific,PHL,Philippines,,,,16028.0,16 028,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2020,2020,2020,WPR,Western Pacific,PHL,Philippines,,,,55926.0,55 926,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,81157.0,81 157,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,19195.0,19 195,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2016,2016,2016,WPR,Western Pacific,PHL,Philippines,,,,36463.0,36 463,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2003,2003,2003,WPR,Western Pacific,PHL,Philippines,,,,41.53,41.53,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2009,2009,2009,WPR,Western Pacific,PHL,Philippines,,,,55.29,55.29,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,37.1,37.1,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2018,2018,2018,WPR,Western Pacific,PHL,Philippines,,,,26685.0,26 685,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,,,,443808.0,443 808,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,2737.0,2737,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,,,,11705.0,11 705,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2021,2021,2021,WPR,Western Pacific,PHL,Philippines,,,,7.92,7.92,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2000,2000,2000,WPR,Western Pacific,PHL,Philippines,,,,8564.0,8564,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2018,2018,2018,WPR,Western Pacific,PHL,Philippines,,,,2.44,2.44,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,7.32,7.32,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2013,2013,2013,WPR,Western Pacific,PHL,Philippines,,,,52938.0,52 938,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,347227.0,347 227,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2016,2016,2016,WPR,Western Pacific,PHL,Philippines,,,,2.3,2.3,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-prosthetic-technicians-%28number%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,682.0,682,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2008,2008,2008,WPR,Western Pacific,PHL,Philippines,,,,12.32,12.32,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,6481.0,6481,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2010,2010,2010,WPR,Western Pacific,PHL,Philippines,,,,26.47,26.47,,
